# Fission Isotope Spectra
#  U235, Pu239, Pu241: Fit Extrapolation of reported Huber's spectra
#  U238: Fit Extrapolation of Muller spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    6.04      0.0370526      0.0593926       0.017994      0.0284628
    6.05      0.0366046      0.0587344      0.0177045      0.0279752
    6.06      0.0361621      0.0580835      0.0174196      0.0274959
    6.07      0.0357249      0.0574399      0.0171394      0.0270248
    6.08      0.0352929      0.0568033      0.0168637      0.0265618
    6.09      0.0348662      0.0561738      0.0165924      0.0261067
     6.1      0.0344447      0.0555513      0.0163254      0.0256594
    6.11      0.0340283      0.0549357      0.0160628      0.0252197
    6.12      0.0336169      0.0543269      0.0158044      0.0247876
    6.13      0.0332104      0.0537248      0.0155501      0.0243629
    6.14      0.0328089      0.0531294         0.0153      0.0239455
    6.15      0.0324122      0.0525406      0.0150538      0.0235353
    6.16      0.0320204      0.0519584      0.0148116       0.023132
    6.17      0.0316332      0.0513826      0.0145733      0.0227357
    6.18      0.0312508      0.0508131      0.0143389      0.0223462
    6.19       0.030873        0.05025      0.0141082      0.0219633
     6.2      0.0304997      0.0496932      0.0138812       0.021587
    6.21      0.0301309      0.0491425      0.0136579      0.0212171
    6.22      0.0297667      0.0485979      0.0134382      0.0208536
    6.23      0.0294068      0.0480593       0.013222      0.0204963
    6.24      0.0290512      0.0475267      0.0130093      0.0201452
    6.25         0.0287          0.047         0.0128         0.0198
    6.26      0.0283808       0.046491      0.0126732       0.019602
    6.27      0.0280652      0.0459876      0.0125477      0.0194059
    6.28      0.0277531      0.0454896      0.0124234      0.0192118
    6.29      0.0274444       0.044997      0.0123003      0.0190196
     6.3      0.0271392      0.0445097      0.0121785      0.0188294
    6.31      0.0268374      0.0440277      0.0120579      0.0186411
    6.32      0.0265389       0.043551      0.0119384      0.0184546
    6.33      0.0262438      0.0430793      0.0118202        0.01827
    6.34      0.0259519      0.0426128      0.0117031      0.0180873
    6.35      0.0256633      0.0421514      0.0115872      0.0179064
    6.36      0.0253779      0.0416949      0.0114724      0.0177273
    6.37      0.0250957      0.0412434      0.0113588      0.0175499
    6.38      0.0248166      0.0407968      0.0112463      0.0173744
