# Fission Isotope Spectra
#  U235, Pu239, Pu241: Interpolation of reported ILL spectra
#  U238: Interpolation of Vogel's spectra
#
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
    6.45      0.0214916      0.0336244     0.00996727       0.014781
    6.46      0.0212478      0.0331884     0.00985114      0.0146005
    6.47      0.0210068       0.032758     0.00973637      0.0144221
    6.48      0.0207685      0.0323332     0.00962293      0.0142459
    6.49      0.0205329      0.0319139     0.00951081      0.0140719
     6.5         0.0203         0.0315         0.0094         0.0139
    6.51      0.0200558      0.0311283     0.00928661      0.0137236
    6.52      0.0198145       0.030761     0.00917458      0.0135494
    6.53      0.0195762       0.030398     0.00906391      0.0133774
    6.54      0.0193407      0.0300393     0.00895457      0.0132076
    6.55       0.019108      0.0296848     0.00884655        0.01304
    6.56      0.0188781      0.0293345     0.00873984      0.0128744
    6.57       0.018651      0.0289884     0.00863441       0.012711
    6.58      0.0184267      0.0286463     0.00853025      0.0125497
    6.59       0.018205      0.0283083     0.00842735      0.0123904
     6.6       0.017986      0.0279742      0.0083257      0.0122331
    6.61      0.0177696      0.0276441     0.00822526      0.0120779
    6.62      0.0175558      0.0273179     0.00812604      0.0119245
    6.63      0.0173447      0.0269956     0.00802802      0.0117732
    6.64       0.017136       0.026677     0.00793118      0.0116238
    6.65      0.0169299      0.0263622      0.0078355      0.0114762
    6.66      0.0167262      0.0260512     0.00774098      0.0113306
    6.67       0.016525      0.0257437      0.0076476      0.0111867
    6.68      0.0163262        0.02544     0.00755535      0.0110447
    6.69      0.0161298      0.0251398     0.00746421      0.0109046
     6.7      0.0159357      0.0248431     0.00737417      0.0107661
    6.71       0.015744        0.02455     0.00728522      0.0106295
    6.72      0.0155546      0.0242603     0.00719733      0.0104946
    6.73      0.0153675       0.023974     0.00711051      0.0103614
    6.74      0.0151826      0.0236911     0.00702474      0.0102298
